"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"12 Labours of Hercules III: Girl Power",NA,"Strategy","http://static.metacritic.com/images/products/games/7/d66217875695c341894da5b5452dca86-98.jpg",NA,"A hero from Ancient Greece, Hercules, is fighting the great beast Scylla, when lurking Charybdis captures his friend Cerberus! Then, unseen by Hercules, takes the hero himself. The only chance for Hercules is his wife Megara. Help Megara free the hero and then accompany him in all of his adventures, including the forest of the Amazons and Mount Olympus in 12 Labours of Hercules III: Girl Power!
As you move forward, you also get a chance to build Wonders and solve incredible Puzzles. The game runs in Full HD mode, if available. The Player will enjoy colourful comics, as well as Hercules' surprising tricks.
Each of 4 stages has 10 puzzle pieces, which you can collect, and solve once the stage is completed.","PC","GameHouse","Zoom Out Games","","2014-12-31","http://www.metacritic.com/game/pc/12-labours-of-hercules-iii-girl-power"
"7 Days to Die",NA,"Action","http://static.metacritic.com/images/products/games/0/5520f07a35bf7bf2ff23a3c41b486d49-98.jpg","7.7","Building on survivalist and horror themes, players in 7 Days to Die can scavenge the abandoned cities of the buildable and destructable voxel world for supplies or explore the wilderness to gather raw materials to build their own tools, weapons, traps, fortifications and shelters.","PC","The Fun Pimps Entertainment LLC","The Fun Pimps Entertainment LLC","","2013-12-13","http://www.metacritic.com/game/pc/7-days-to-die"
"Act of Aggression","71","Strategy","http://static.metacritic.com/images/products/games/7/613f7902df438c94b08031b8a96d515e-98.jpg","7","In what is shaping up to be their most ambitious project since Act of War, Eugen Systems will deliver a real-time strategy experience set in the 2020's in a darkly realistic future where 3 major factions fight for their interests. In a world where international crisis and financial order is set in a seemingly unending loop, the shadowy organization known as ""The Cartel"" attempt to complete a secret agenda with high-tech technology, stolen prototypes and stealthy operatives. Against this looming threat stands the Chimere, a UNO funded, classified military organization specialized in fast strikes, which attempts to maintain global peace and order. Finally, somewhere between the two stands the US Army, worn out by two decades of being kept on a war footing with too few replacements, but still fielding a great deal of battle-hardened veterans.","PC","Focus Home Interactive","Eugen Systems","","2015-09-02","http://www.metacritic.com/game/pc/act-of-aggression"
"AdVenture Capitalist",NA,"Action","http://static.metacritic.com/images/products/games/5/4641e2dc534174deae318d921e7f34c0-98.jpg","5.6","Welcome, eager young investor, to AdVenture Capitalist. ""Arguably the world's greatest Capitalism simulator!""","PC","Hyper Hippo Productions","Hyper Hippo Productions","","2015-03-30","http://www.metacritic.com/game/pc/adventure-capitalist"
"Age of Empires II: HD Edition","68","Strategy","http://static.metacritic.com/images/products/games/7/ab8aaf7724a653830021d4dff1a86b78-98.jpg","7.6","In Age of Empires II: HD Edition, fans of the original game and new players alike will fall in love with the classic Age of Empires II experience. Explore all the original single player campaigns from both Age of Kings and The Conquerors expansion, choose from 18 civilizations spanning over a thousand years of history, and head online to challenge other Steam players in your quest for world domination throughout the ages. Originally developed by Ensemble Studios and reimagined in high definition by Hidden Path Entertainment, Microsoft Studios is proud to bring Age of Empires II: HD Edition to Steam!","PC","Microsoft Game Studios","Ensemble Studios, Hidden Path Entertainment","","2013-07-11","http://www.metacritic.com/game/pc/age-of-empires-ii-hd-edition"
"Age of Empires III: Complete Collection",NA,"Strategy","http://static.metacritic.com/images/products/games/2/0cc4234ff3bc7cb692ac79e55ec3f244-98.jpg","8.4","Immerse yourself in the award-winning strategy experience. Microsoft Studios brings you three epic Age of Empires III games in one monumental collection for the first time. Command mighty European powers looking to explore new lands in the New World; or jump eastward to Asia and determine the outcome of its struggles for power.","PC","Microsoft Game Studios","Microsoft Game Studios","T","2009-09-15","http://www.metacritic.com/game/pc/age-of-empires-iii-complete-collection"
"Age of Mythology: Extended Edition","66","Strategy","http://static.metacritic.com/images/products/games/2/d1704af6d0e7311c6aa6c1ae59dc7b45-98.jpg","6.4","The classic real time strategy game that transports players to a time when heroes did battle with monsters of legend and the gods intervened in the affairs of mortals. Use mythological creatures like Minotaurs and Cyclopes to bolster your armies' strength. Call upon the gods for assistance in flattening enemy towns with meteors or scatter opposing troops with lightning storms. The Extended Edition includes: Age of Mythology Age of Mythology: The Titans Golden Gift Campaign","PC","Microsoft Game Studios","Ensemble Studios","","2014-05-08","http://www.metacritic.com/game/pc/age-of-mythology-extended-edition"
"Age of Wonders III","80","Strategy","http://static.metacritic.com/images/products/games/5/8f7f3e804f924a89995eaea0177afced-98.jpg","7.8","Age of Wonders 3 marks a modern reimagining of the series, where players join a clash of kings, queens and dark lords for the spoils of an ancient paradise. By introducing unique RPG-inspired classes and specializations, players are able to craft empires of their own design, developing unique strategies and play styles. The world-changing conflict plays out on sweeping landscapes, loaded with mythical locations waiting to be uncovered, conquered and exploited.","PC","Triumph Studios","Triumph Studios","T","2014-03-31","http://www.metacritic.com/game/pc/age-of-wonders-iii"
"Alien: Isolation","81","Action Adventure","http://static.metacritic.com/images/products/games/9/84b73ed3ba5e4ff60468d65380e0193b-98.jpg","8.4","Alien: Isolation is a first-person survival horror game which captures the fear and tension evoked by Ridley Scott’s 1979 classic film. Players find themselves in an atmosphere of constant dread and mortal danger as an unpredictable, ruthless Xenomorph is stalking and killing deep in the shadows. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.","PC","Sega","Creative Assembly","M","2014-10-06","http://www.metacritic.com/game/pc/alien-isolation"
"Amnesia: The Dark Descent","85","Action Adventure","http://static.metacritic.com/images/products/games/0/7ad8341a5c9286d75d8776cdb2122f66-98.jpg","8.7","The last remaining memories fade away into darkness. Your mind is a mess and only a feeling of being hunted remains. You must escape. Awake... Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.","PC","THQ","Frictional Games","M","2011-02-17","http://www.metacritic.com/game/pc/amnesia-the-dark-descent"
